state,year,yield,state_fips
ALABAMA,1924,6.5,1
ALABAMA,1925,7,1
ALABAMA,1926,4.5,1
ALABAMA,1927,6,1
ALABAMA,1928,6,1
ALABAMA,1929,6,1
ALABAMA,1930,5,1
ALABAMA,1931,4.8,1
ALABAMA,1932,6,1
ALABAMA,1933,5.5,1
ALABAMA,1934,6,1
ALABAMA,1935,5.5,1
ALABAMA,1936,6,1
ALABAMA,1937,7,1
ALABAMA,1938,5.5,1
ALABAMA,1939,6.2,1
ALABAMA,1940,6.5,1
ALABAMA,1941,8,1
ALABAMA,1942,8.5,1
ALABAMA,1943,10.5,1
ALABAMA,1944,10,1
ALABAMA,1945,12,1
ALABAMA,1946,17.5,1
ALABAMA,1947,18,1
ALABAMA,1948,21.5,1
ALABAMA,1949,19.1,1
ALABAMA,1950,19,1
ALABAMA,1951,18,1
ALABAMA,1952,19,1
ALABAMA,1953,20.5,1
ALABAMA,1954,12,1
ALABAMA,1955,22,1
ALABAMA,1956,20.5,1
ALABAMA,1957,20,1
ALABAMA,1958,22,1
ALABAMA,1959,22,1
ALABAMA,1960,24,1
ALABAMA,1961,23,1
ALABAMA,1962,20.5,1
ALABAMA,1963,20,1
ALABAMA,1964,22,1
ALABAMA,1965,22,1
ALABAMA,1966,24.5,1
ALABAMA,1967,26.5,1
ALABAMA,1968,22,1
ALABAMA,1969,22.5,1
ALABAMA,1970,23,1
ALABAMA,1971,26,1
ALABAMA,1972,20,1
ALABAMA,1973,21,1
ALABAMA,1974,23,1
ALABAMA,1975,24.5,1
ALABAMA,1976,24,1
ALABAMA,1977,21,1
ALABAMA,1978,21,1
ALABAMA,1979,25,1
ALABAMA,1980,15,1
ALABAMA,1981,23,1
ALABAMA,1982,25,1
ALABAMA,1983,20,1
ALABAMA,1984,21,1
ALABAMA,1985,27,1
ALABAMA,1986,23,1
ALABAMA,1987,18,1
ALABAMA,1988,25,1
ALABAMA,1989,21,1
ALABAMA,1990,17,1
ALABAMA,1991,23,1
